City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,14.26,87,0,2.42,NZ,1684857499
1,fort bragg,35.139,-79.006,24.39,58,0,7.2,US,1684857500
2,codrington,-38.2667,141.9667,10.46,86,23,5.17,AU,1684857500
3,hawaiian paradise park,19.5933,-154.9731,20.57,92,100,0.0,US,1684857500
4,arawa,-6.2132,155.5367,24.85,90,94,1.61,PG,1684857501
5,tolanaro,-25.0319,46.9987,21.04,60,40,4.12,MG,1684857501
6,ulanhot,46.0833,122.0833,19.45,23,100,3.46,CN,1684857502
7,guiping,23.3925,110.0814,23.93,93,34,0.71,CN,1684857503
8,lebu,-37.6167,-73.65,13.14,68,24,4.51,CL,1684857503
9,wailua homesteads,22.0669,-159.378,23.44,89,100,6.69,US,1684857504
10,edinburgh of the seven seas,-37.0676,-12.3116,14.16,62,100,14.66,SH,1684857504
11,tommot,58.9564,126.2925,1.73,73,92,0.63,RU,1684857505
12,brak,27.5496,14.2714,37.87,6,46,4.25,LY,1684857506
13,auki,-8.7676,160.7034,25.07,89,74,1.51,SB,1684857507
14,la'ie,21.6477,-157.9253,23.98,85,67,3.13,US,1684857507
15,amga,60.8953,131.9608,-0.43,73,22,0.42,RU,1684857508
16,kirundo,-2.5833,30.1667,19.75,82,80,1.88,BI,1684857509
17,mogadishu,2.0371,45.3438,27.28,85,87,4.63,SO,1684857288
18,tomino,41.9877,-8.755,27.52,48,75,1.83,ES,1684857511
19,tadine,-21.55,167.8833,21.64,59,99,6.85,NC,1684857512
20,ringsted,55.4426,11.7901,12.17,94,84,5.83,DK,1684857513
21,bayanhongor,46.7167,100.1167,3.49,85,100,3.17,MN,1684857513
22,adamstown,-25.066,-130.1015,24.52,85,100,12.83,PN,1684857514
23,blackmans bay,-43.0167,147.3167,13.18,72,100,1.98,AU,1684857515
24,yellowknife,62.456,-114.3525,10.31,50,40,6.17,CA,1684856988
25,tarawa,1.419,172.984,25.05,94,75,1.54,KI,1684857516
26,oyama,36.3,139.8,16.44,91,38,1.01,JP,1684857516
27,st. john's,47.5649,-52.7093,4.32,96,100,8.23,CA,1684857308
28,vilyuysk,63.7553,121.6247,4.17,48,100,2.44,RU,1684857519
29,makar'yev,57.8797,43.8069,20.14,55,91,2.92,RU,1684857520
30,bel ombre,-4.6167,55.4167,27.91,78,20,4.63,SC,1684857520
31,colonia,50.9333,6.95,18.87,52,20,4.63,DE,1684857521
32,thompson,55.7435,-97.8558,8.09,49,40,4.63,CA,1684857504
33,obo,5.3998,26.4869,26.63,64,73,1.12,CF,1684857522
34,benguela,-12.5763,13.4055,25.42,76,86,3.33,AO,1684857522
35,grytviken,-54.2811,-36.5092,3.11,86,100,4.64,GS,1684857523
36,vernon,50.2581,-119.2691,14.05,74,100,0.45,CA,1684857286
37,ponta delgada,37.7333,-25.6667,21.4,60,75,3.6,PT,1684857524
38,castillos,-34.1667,-53.8333,22.96,61,97,3.27,UY,1684857524
39,albany,42.6001,-73.9662,22.32,53,8,1.34,US,1684857525
40,chinde,26.8418,88.0763,17.09,86,91,2.15,NP,1684857525
41,olonkinbyen,70.9221,-8.7187,0.36,88,100,9.16,SJ,1684857525
42,port mathurin,-19.6833,63.4167,25.59,57,6,5.21,MU,1684857525
43,port-aux-francais,-49.35,70.2167,8.18,97,100,19.03,TF,1684857526
44,west island,-12.1568,96.8225,27.99,78,46,4.12,CC,1684857526
45,xinyuan,37.3,99.0,7.97,27,14,5.18,CN,1684857526
46,tiksi,71.6872,128.8694,-6.03,88,90,1.95,RU,1684857526
47,enewetak,11.3474,162.3373,28.39,75,92,6.88,MH,1684857527
48,altai,46.3722,96.2583,3.8,64,44,2.79,MN,1684857527
49,dudinka,69.4058,86.1778,0.9,89,100,7.49,RU,1684857233
50,talnakh,69.4865,88.3972,0.67,95,94,7.25,RU,1684857528
51,ribeira grande,38.5167,-28.7,19.87,77,75,6.71,PT,1684857528
52,punta arenas,-53.15,-70.9167,4.06,70,0,6.17,CL,1684857298
53,salekhard,66.53,66.6019,12.55,43,7,4.45,RU,1684857528
54,rexburg,43.826,-111.7897,16.97,43,75,3.6,US,1684857529
55,bubaque,11.2833,-15.8333,27.88,67,58,5.21,GW,1684857529
56,makoua,0.0069,15.6333,30.41,66,82,0.42,CG,1684857529
57,invercargill,-46.4,168.35,7.67,76,87,3.61,NZ,1684857529
58,rondonopolis,-16.4708,-54.6356,33.31,26,11,3.26,BR,1684857530
59,katsuura,35.1333,140.3,14.48,88,90,6.01,JP,1684857530
60,kaitong,44.8135,123.15,21.06,23,100,7.98,CN,1684857530
61,tari,12.4086,4.4914,39.28,27,97,2.99,NG,1684857530
62,alice springs,-23.7,133.8833,4.75,75,0,2.57,AU,1684857427
63,tateyama,34.9833,139.8667,14.73,84,94,5.41,JP,1684857531
64,yuanping,38.7153,112.7575,17.74,31,100,1.39,CN,1684857531
65,santa cruz,-17.8,-63.1667,25.7,88,75,6.17,BO,1684857246
66,laguna,38.421,-121.4238,19.45,70,0,2.57,US,1684857532
67,kenai,60.5544,-151.2583,8.05,70,100,4.12,US,1684857532
68,suances,43.4334,-4.0434,17.28,94,75,1.54,ES,1684857532
69,bethel,41.3712,-73.414,21.9,56,75,3.09,US,1684857433
70,georgetown,5.4112,100.3354,30.97,66,20,0.0,MY,1684857338
71,launceston,-41.45,147.1667,12.8,93,100,6.69,AU,1684857533
72,kone,-21.0595,164.8658,17.57,78,87,2.36,NC,1684857534
73,margaret river,-33.95,115.0667,16.89,77,79,7.12,AU,1684857534
74,vilyuchinsk,52.9306,158.4028,2.15,92,99,2.06,RU,1684857534
75,longyearbyen,78.2186,15.6401,4.91,75,75,1.03,SJ,1684857535
76,vorgashor,67.5833,63.95,8.51,87,3,3.22,RU,1684857535
77,new norfolk,-42.7826,147.0587,13.84,62,99,3.13,AU,1684857536
78,la ronge,55.1001,-105.2842,8.14,46,75,7.2,CA,1684857536
79,wamba,8.9333,8.6,32.74,52,100,2.14,NG,1684857536
80,ust-nera,64.5667,143.2,2.93,99,100,2.64,RU,1684857536
81,stanley,54.868,-1.6985,18.77,46,0,5.14,GB,1684857537
82,bilibino,68.0546,166.4372,1.12,86,98,1.58,RU,1684857537
83,saint-pierre,-21.3393,55.4781,23.82,78,0,0.0,RE,1684857537
84,howrah,22.5892,88.3103,25.0,83,75,6.69,IN,1684857537
85,bamboo flat,11.7,92.7167,29.05,79,40,2.06,IN,1684857538
86,antofagasta,-23.65,-70.4,17.6,69,29,2.88,CL,1684857391
87,tazovsky,67.4667,78.7,0.19,93,12,4.91,RU,1684857538
88,jamestown,42.097,-79.2353,23.9,52,0,3.6,US,1684857423
89,puerto ayora,-0.7393,-90.3518,28.98,88,81,3.58,EC,1684857539
